
		------ eVeryDay --------
		 SIMPLE DATA LOGGING

	      Recording Date: FEB 2, 2012 


	Time	Temperature(C)	LDR reading
	--------------------------------
	02:03	     27.50	659
	02:04	     29.75	718
	02:05	     29.75	728
	02:06	     29.75	723
	02:07	     29.75	713
	02:08	     29.75	722
	02:09	     29.75	719
	02:10	     29.75	722
	02:11	     29.75	722
	02:12	     29.50	718
	02:13	     29.50	720
	02:14	     29.50	717
	02:15	     29.50	715
	02:16	     29.50	718
	02:17	     29.50	728
	02:18	     29.50	774
	02:19	     29.50	740
	02:20	     29.50	725
	02:21	     29.50	731
	02:22	     29.50	745
	02:23	     29.50	742
	02:24	     29.25	738
	02:25	     29.25	734
	02:26	     29.25	726
	02:27	     29.25	721
	02:28	     29.00	721
	02:29	     29.00	720
	02:30	     29.00	718
	02:31	     29.25	725
	02:32	     29.00	727
	02:33	     29.00	728
	02:34	     29.00	726
	02:35	     29.00	727
	02:36	     29.00	725
	02:37	     29.00	726
	02:38	     28.75	724
	02:39	     29.00	730
	02:40	     29.00	741
	02:41	     29.00	737
	02:42	     29.00	736
	02:43	     29.00	737
	02:44	     28.75	737
	02:45	     28.75	735
	02:46	     29.00	736
	02:47	     28.75	736
	02:48	     29.00	737
	02:49	     28.75	735
	02:50	     28.75	733
	02:51	     28.75	734
	02:52	     28.75	728
	02:53	     28.75	728
	02:54	     28.75	729
	02:55	     28.75	728
	02:56	     28.75	729
	02:57	     28.75	725
	02:58	     28.75	726
	02:59	     28.75	722
	03:00	     28.75	721
	03:01	     28.75	728
	03:02	     28.75	732
	03:03	     28.75	731
	03:04	     28.75	730
	03:05	     28.75	730
	
